iter	Passed	Remaining
0	0	46
1	0	39
2	1	36
3	1	32
4	1	31
5	2	35
6	2	34
7	2	33
8	3	32
9	3	31
10	4	33
11	4	35
12	5	36
13	6	38
14	6	39
15	7	40
16	8	41
17	9	41
18	10	44
19	11	44
20	13	50
21	13	48
22	14	47
23	14	45
24	14	44
25	15	42
26	15	42
27	16	42
28	17	42
29	17	41
30	18	41
31	19	40
32	19	40
33	20	39
34	21	39
35	21	38
36	22	38
37	22	37
38	23	36
39	23	35
40	24	34
41	24	33
42	28	37
43	28	36
44	28	35
45	29	34
46	29	33
47	30	32
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	34	28
55	35	27
56	35	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	19
68	42	19
69	43	18
70	43	17
71	43	16
72	43	16
73	44	15
74	44	14
75	44	14
76	45	13
77	45	12
78	45	12
79	46	11
80	46	10
81	46	10
82	47	9
83	47	9
84	47	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	50	5
91	51	4
92	52	3
93	53	3
94	53	2
95	54	2
96	55	1
97	55	1
98	56	0
99	56	0
